"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"HD 9370";"And";"54771";"01 32 48 +35 50 34";"STF 133 AB";"2020";"44";191;3.0;6.79;9.44;2.65;""
"";"And";"54771";"01 32 48 +35 50 34";"STF 133 AC";"2024";"31";191;17.5;6.79;10.49;3.70;""
"";"And";"54771";"01 32 48 +35 50 34";"STF 133 AD";"2024";"30";186;22.5;6.79;10.68;3.89;""
"";"And";"54772";"01 32 47 +35 50 15";"STF 133 CD";"2024";"45";168;4.4;10.49;10.68;0.19;""
"";"And";"37316";"01 34 11 +47 59 56";"STF 134";"2016";"11";354;11.3;9.85;11.50;1.65;""
"HD 9532";"And";"54786";"01 34 12 +36 11 25";"STF 135 AB,C";"2021";"25";258;8.2;8.07;10.48;2.41;""
"";"And";"54786";"01 34 12 +36 11 25";"STF 135 AB,D";"2021";"16";50;51.0;8.07;10.62;2.55;""
"100 Psc";"Psc";"92521";"01 34 52 +12 33 31";"STF 136 AB";"2020";"105";77;15.6;7.33;8.33;1.00;""
"";"Psc";"92521";"01 34 52 +12 33 31";"STF 136 AC";"2015";"9";312;77.1;7.33;13.60;6.27;""
"";"Psc";"92521";"01 34 52 +12 33 31";"STF 136 AD";"2015";"14";7;124.2;7.33;11.57;4.24;""
"HD 9686";"Tri";"54810";"01 35 29 +31 17 17";"STF 137";"2018";"40";85;3.4;8.85;9.60;0.75;""
"HD 9817";"Psc";"110001";"01 36 03 +07 38 43";"STF 138 AB";"2020";"313";61;1.7;7.50;7.63;0.13;""
"";"Psc";"110001";"01 36 03 +07 38 43";"STF 138 AC";"2015";"5";80;29.6;7.50;15.10;7.60;""
"";"Psc";"110001";"01 36 03 +07 38 43";"STF 138 AD";"2015";"18";74;77.6;7.50;10.06;2.56;""
"HD 232490";"Per";"22476";"01 39 19 +52 57 13";"STF 139 AB";"2020";"57";39;9.2;9.89;10.27;0.38;""
"";"Per";"22476";"01 39 19 +52 57 13";"STF 139 AC";"2015";"26";85;114.6;9.89;10.85;0.96;""
"";"Per";"22475";"01 39 20 +52 57 20";"STF 139 BC";"2015";"11";88;108.3;10.85;10.27;0.58;""
