index1,index2,dist
i Car,CD -61°2160,48.19
121G Car,CD -58°2491,18.00
122G Car,CD -60°2534,8.43
beta Car,CD -69°600,17.07
124G Car,CD -57°2556,12.03
g Car,CD -57°2568,6.22
iota Car,CD -58°2529,12.00
128G Car,CD -68°631,16.39
129G Car,CD -66°712,6.00
130G Car,CD -74°469,24.34
131G Car,CD -74°468,12.13
k Car,CD -61°2212,30.00
133G Car,CD -59°2365,30.00
134G Car,CD -61°2236,13.03
135G Car,CD -61°2244,7.39
136G Car,CD -69°623,7.97
137G Car,CD -64°396,42.50
138G Car,CD -71°556,35.77
139G Car,CD -61°2252,6.97
140G Car,CD -61°2254,18.50
141G Car,CD -66°729,8.53
142G Car,CD -71°557,11.36
143G Car,CD -57°2684,20.78
144G Car,CD -66°736,12.12
R Car,CD -62°396,24.00
H Car,CD -72°547,14.78
h Car,CD -58°2678,18.81
148G Car,CD -64°402,6.48
149G Car,CD -63°486,6.00
m Car,CD -60°2736,13.69
151G Car,CD -62°403,13.87
152G Car,CD -57°2779,17.05
153G Car,CD -56°2918,36.15
154G Car,CD -66°754,6.00
155G Car,CD -71°579,24.46
156G Car,CD -56°2948,42.52
l Car,CD -61°2349,6.00
158G Car,CD -58°2787,8.16
159G Car,CD -69°668,6.00
upsilon Car,CD -64°412,35.71
161G Car,CD -58°2844,36.53
162G Car,CD -62°414,19.31
163G Car,CD -57°2897,18.85
164G Car,CD -56°3030,36.23
165G Car,CD -68°702,13.19
166G Car,CD -70°656,7.77
167G Car,CD -68°711,16.27
168G Car,CD -56°3107,10.18
169G Car,CD -59°2763,24.19
170G Car,CD -59°2810,12.10
171G Car,CD -61°2470,12.02
172G Car,CD -61°2474,18.90
173G Car,CD -57°3034,48.81
174G Car,CD -61°2504,19.11
175G Car,CD -70°667,7.76
176G Car,CD -65°874,19.07
S Car,CD -60°2949,18.01
178G Car,CD -68°739,8.21
179G Car,CD -58°3085,42.03
180G Car,CD -57°3063,12.24
181G Car,CD -67°845,5.79
182G Car,CD -59°2958,24.11
183G Car,CD -61°2538,6.67
M Car,CD -65°893,12.00
omega Car,CD -69°720,7.99
186G Car,CD -59°2986,7.56
q Car,CD -60°3010,18.06
188G Car,CD -64°452,8.89
189G Car,CD -64°453,40.88
190G Car,CD -57°3176,54.15
L Car,CD -66°877,8.51
192G Car,CD -57°3202,30.17
I Car,CD -73°576,12.00
194G Car,CD -73°577,14.77
195G Car,CD -57°3230,26.59
s Car,CD -58°3286,18.84
197G Car,CD -62°457,38.57
198G Car,CD -65°939,8.72
199G Car,CD -63°547,0.00
200G Car,CD -60°3083,24.18
201G Car,CD -66°894,13.45
K Car,CD -71°651,9.59
p Car,CD -61°2688,9.44
204G Car,CD -72°614,18.00
205G Car,CD -57°3310,18.16
206G Car,CD -58°3339,24.01
207G Car,CD -60°3109,7.47
r Car,CD -56°3445,18.89
209G Car,CD -57°3349,30.52
t1 Car,CD -58°3387,1.55
211G Car,CD -58°3410,18.05
212G Car,CD -56°3466,7.28
t2 Car,CD -58°3441,1.57
214G Car,CD -58°3442,48.16
215G Car,CD -58°3450,7.19
216G Car,CD -63°568,17.99
217G Car,CD -64°485,20.32
218G Car,CD -74°559,7.21
219G Car,CD -73°598,12.52
220G Car,CD -59°3221,24.11
221G Car,CD -63°578,17.87
222G Car,CD -58°3513,25.01
theta Car,CD -63°580,13.27
w Car,CD -59°3262,36.13
225G Car,CD -58°3528,12.39
226G Car,CD -59°3272,24.05
QZ Car,CD -59°3287,6.19
228G Car,CD -63°584,8.97
229G Car,CD -63°585,22.49
230G Car,CD -74°564,7.86
eta Car,CD -59°3306,18.15
232G Car,CD -70°741,18.70
233G Car,CD -70°743,11.80
234G Car,CD -71°683,15.23
235G Car,CD -59°3318,36.07
236G Car,CD -63°592,27.40
237G Car,CD -63°593,13.73
238G Car,CD -63°597,14.57
239G Car,CD -59°3336,7.68
240G Car,CD -59°3339,12.02
241G Car,CD -68°826,8.13
242G Car,CD -68°827,21.02
243G Car,CD -58°3579,25.24
244G Car,CD -56°3625,6.00
245G Car,CD -58°3623,5.53
u Car,CD -58°3625,42.01
247G Car,CD -61°2854,1.45
248G Car,CD -70°756,20.71
T Car,CD -59°3419,12.09
U Car,CD -59°3448,10.02
251G Car,CD -68°850,21.12
252G Car,CD -74°581,7.23
253G Car,CD -60°3302,32.79
254G Car,CD -57°3681,24.01
255G Car,CD -74°592,12.65
256G Car,CD -57°3704,6.05
z1 Car,CD -61°2934,12.73
258G Car,CD -64°521,40.99
259G Car,CD -70°795,24.53
x Car,CD -58°3855,30.66
z2 Car,CD -61°2941,31.22
262G Car,CD -70°814,7.77
y Car,CD -59°3611,21.71
264G Car,CD -63°637,24.00
265G Car,CD -58°3919,24.79
266G Car,CD -56°3834,30.28
267G Car,CD -67°1049,13.11
268G Car,CD -63°643,6.00
1G Cen,CD -46°6734,6.00
2G Cen,CD -50°5686,6.08
3G Cen,CD -50°5693,12.00
4G Cen,CD -41°6343,24.10
5G Cen,CD -47°6525,1.00
6G Cen,CD -38°6957,24.11
7G Cen,CD -45°6771,12.41
8G Cen,CD -46°6840,4.15
9G Cen,CD -48°6263,1.99
10G Cen,CD -49°5937,6.00
11G Cen,CD -43°6872,16.92
12G Cen,CD -49°5943,13.81
13G Cen,CD -52°4219,30.15
