index1,index2,dist
USNO 2232,CD -28°1971,38.42
USNO 2235,CD -29°2069,31.65
USNO 2238,CD -25°2251,26.98
USNO 2241,CD -25°2260,6.91
USNO 2243,CD -25°2261,10.19
USNO 2248,CD -25°2269,6.10
USNO 2249,CD -25°2274,2.64
USNO 2250,CD -26°2045,22.79
USNO 2253,CD -25°2281,11.77
USNO 2255,CD -30°2232,11.20
USNO 2258,CD -37°2071,32.62
USNO 2261,CD -27°2137,18.95
USNO 2263,CD -27°2138,4.33
USNO 2270,CD -27°2148,14.80
USNO 2271,CD -26°2085,29.37
USNO 2273,CD -28°2057,15.48
USNO 2274,CD -29°2143,24.51
USNO 2275,CD -27°2166,4.75
USNO 2276,CD -36°2135,12.66
USNO 2277,CD -35°2199,12.92
USNO 2279,CD -25°2347,5.18
USNO 2282,CD -27°2182,18.48
USNO 2283,CD -31°2328,10.67
USNO 2285,CD -35°2214,27.64
USNO 2286,CD -27°2189,22.70
USNO 2287,CD -25°2361,13.20
USNO 2288,CD -25°2363,12.49
USNO 2291,CD -29°2173,6.92
USNO 2292,CD -27°2204,3.80
USNO 2293,CD -25°2371,20.51
USNO 2294,CD -26°2148,4.15
USNO 2296,CD -29°2192,22.51
USNO 2301,CD -24°3023,28.05
USNO 2305,CD -34°2207,12.45
USNO 2313,CD -26°2185,17.68
USNO 2318,CD -31°2414,15.30
USNO 2333,CD -32°2336,14.79
USNO 2335,CD -32°2337,30.46
USNO 2337,CD -26°2225,14.29
USNO 2343,CD -29°2265,63.18
USNO 2345,CD -26°2236,38.56
USNO 2347,CD -29°2270,13.80
USNO 2348,CD -29°2272,15.29
USNO 2352,CD -30°2421,28.71
USNO 2354,CD -28°2219,13.08
USNO 2359,CD -28°2230,15.99
USNO 2370,CD -25°2507,19.16
USNO 2379,CD -29°2348,6.10
USNO 2393,CD -27°2369,10.38
USNO 2398,CD -30°2513,6.77
USNO 2399,CD -28°2298,18.86
USNO 2405,CD -27°2389,16.66
USNO 2407,CD -26°2343,9.37
USNO 2408,CD -31°2603,2.35
USNO 2409,CD -28°2317,19.17
USNO 2410,CD -31°2605,5.56
USNO 2411,CD -28°2321,26.95
USNO 2412,CD -29°2383,8.81
USNO 2414,CD -27°2395,8.64
USNO 2417,CD -34°2358,6.11
USNO 2425,CD -34°2375,19.88
USNO 2427,CD -32°2479,10.48
USNO 2428,CD -25°2598,11.78
USNO 2430,CD -29°2413,19.54
USNO 2432,CD -26°2394,22.63
USNO 2434,CD -33°2483,39.58
USNO 2438,CD -27°2446,12.69
USNO 2439,CD -30°2571,9.32
USNO 2440,CD -34°2401,30.27
USNO 2441,CD -34°2412,19.51
USNO 2443,CD -33°2504,6.54
USNO 2445,CD -27°2462,15.42
USNO 2448,CD -30°2583,19.74
USNO 2451,CD -23°3055,4.74
USNO 2453,CD -27°2480,18.68
USNO 2454,CD -31°2704,30.87
USNO 2458,CD -23°3073,22.47
