index1,index2,dist
G 679,PPM 367219,1.35
G 680,PPM 352312,1.34
G 681,PPM 352312,2.96
G 682,PPM 352315,0.21
G 683,PPM 352323,1.20
G 684,PPM 376039,5.58
G 685,PPM 367218,2.88
G 686,PPM 352325,1.69
G 687,PPM 352320,2.33
G 688,PPM 352326,2.51
G 689,PPM 775244,3.11
G 690,PPM 376024,1.82
G 691,PPM 367217,3.73
G 692,PPM 352332,2.67
G 693,PPM 352334,3.12
G 694,PPM 376036,1.16
G 695,PPM 367225,3.20
G 696,PPM 788451,0.88
G 697,PPM 367216,2.59
G 698,PPM 367227,0.80
G 699,PPM 367229,1.21
G 700,PPM 367226,1.37
G 701,PPM 352340,1.51
G 702,PPM 367231,3.44
G 703,PPM 367222,1.66
G 704,PPM 352344,0.98
G 705,PPM 352345,3.62
G 706,PPM 352342,2.39
G 707,PPM 352343,1.57
G 708,PPM 376041,2.99
G 709,PPM 788450,2.10
G 711,PPM 367237,1.17
G 712,PPM 352349,3.08
G 713,PPM 783753,0.44
G 714,PPM 367234,2.15
G 715,PPM 352355,0.71
G 716,PPM 367221,0.17
G 717,PPM 367232,1.38
G 718,PPM 367238,1.88
G 719,PPM 367235,1.18
G 720,PPM 352361,2.75
G 722,PPM 376043,2.32
G 723,PPM 352362,0.46
G 724,PPM 376017,0.70
G 725,PPM 367239,1.63
G 726,PPM 376044,2.64
G 727,PPM 376025,2.51
G 728,PPM 376040,1.33
G 729,PPM 367243,1.23
G 730,PPM 367241,0.51
G 731,PPM 367246,7.85
G 732,PPM 352364,2.95
G 733,PPM 367242,1.76
G 734,PPM 367240,2.01
G 736,PPM 367233,5.70
G 737,PPM 367247,3.13
G 738,PPM 352372,6.37
G 739,PPM 367244,1.61
G 740,PPM 367236,2.96
G 741,PPM 783754,1.69
G 742,PPM 367248,3.22
G 743,PPM 376032,2.54
G 744,PPM 352370,1.04
G 745,PPM 352374,2.72
G 746,PPM 376046,4.25
G 747,PPM 775265,2.82
G 748,PPM 775266,1.49
G 749,PPM 775264,0.96
G 750,PPM 352375,2.14
G 751,PPM 352376,1.16
G 752,PPM 352379,0.36
G 753,PPM 367245,2.11
G 754,PPM 352380,1.58
G 755,PPM 352386,9.26
G 756,PPM 367249,0.64
G 757,PPM 367251,1.53
G 758,PPM 367253,2.73
G 759,PPM 352388,3.14
G 760,PPM 367255,2.86
G 761,PPM 367260,0.20
G 762,PPM 367259,0.30
G 763,PPM 352394,1.44
G 764,PPM 367258,2.39
G 765,PPM 352392,3.09
G 766,PPM 352390,4.12
G 767,PPM 376048,1.35
G 767,PPM 376048,2.25
G 768,PPM 352398,1.00
G 769,PPM 367256,1.01
G 770,PPM 367252,0.46
G 771,PPM 352399,1.78
G 772,PPM 783757,1.73
