index1,index2,dist
USNO 527,PPM 144159,1.21
USNO 528,PPM 144162,1.09
USNO 529,PPM 243479,0.56
USNO 530,PPM 144165,1.31
USNO 531,PPM 144167,0.84
USNO 532,PPM 182930,1.53
USNO 533,PPM 144176,0.65
USNO 534,PPM 144179,1.42
USNO 535,PPM 116982,0.98
USNO 536,PPM 276602,2.73
USNO 537,PPM 276598,0.61
USNO 538,PPM 144184,0.42
USNO 539,PPM 276603,1.14
USNO 540,PPM 144191,0.57
USNO 541,PPM 144197,1.82
USNO 542,PPM 144196,2.34
USNO 543,PPM 144198,1.60
USNO 544,PPM 144204,0.01
USNO 545,PPM 144203,2.91
USNO 546,PPM 117000,2.57
USNO 547,PPM 276619,4.66
USNO 548,PPM 182973,1.76
USNO 549,PPM 25987,1.72
USNO 550,PPM 25988,2.48
USNO 551,PPM 25981,1.20
USNO 552,PPM 25990,1.82
USNO 553,PPM 243517,5.99
USNO 554,PPM 243518,0.84
USNO 555,PPM 144211,1.97
USNO 556,PPM 117008,1.12
USNO 557,PPM 243524,1.43
USNO 558,PPM 243531,3.23
USNO 559,PPM 243529,2.85
USNO 560,PPM 144221,1.39
USNO 561,PPM 117014,2.54
USNO 562,PPM 276639,1.42
USNO 563,PPM 144236,0.53
USNO 564,PPM 144239,0.88
USNO 565,PPM 144245,0.80
USNO 566,PPM 276665,0.30
USNO 567,PPM 144248,1.01
USNO 568,PPM 117032,0.57
USNO 569,PPM 144253,1.94
USNO 570,PPM 144254,0.49
USNO 571,PPM 144256,1.12
USNO 572,PPM 243561,1.30
USNO 573,PPM 243563,2.39
USNO 574,PPM 144261,3.12
USNO 575,PPM 144262,2.77
USNO 576,PPM 183037,1.38
USNO 577,PPM 26046,51.82
USNO 578,PPM 243568,2.14
USNO 579,PPM 174847,1.22
USNO 580,PPM 144267,3.64
USNO 581,PPM 243572,1.25
USNO 582,PPM 174848,3.24
USNO 583,PPM 243576,1.18
USNO 584,PPM 144270,1.31
USNO 585,PPM 65975,1.38
USNO 586,PPM 144275,1.27
USNO 587,PPM 26044,0.88
USNO 588,PPM 276695,1.15
USNO 589,PPM 174851,2.79
USNO 590,PPM 243600,0.39
USNO 591,PPM 243602,0.51
USNO 592,PPM 90497,2.12
USNO 593,PPM 144295,59.88
USNO 594,PPM 12766,8.27
USNO 595,PPM 144298,2.57
USNO 596,PPM 243610,1.11
USNO 597,PPM 144300,1.97
USNO 598,PPM 117077,2.68
USNO 599,PPM 276716,2.12
