index1,index2,dist
W 1290,CD -30°885,12.98
W 1291,CD -29°889,22.33
W 1293,CD -26°882,18.36
W 1295,CD -30°890,9.97
W 1297,CD -30°891,6.89
W 1299,CD -25°968,16.21
W 1300,CD -25°969,6.46
W 1303,CD -23°932,27.24
W 1307,CD -30°897,25.31
W 1311,CD -23°942,15.27
W 1313,CD -26°898,14.13
W 1316,CD -25°979,15.96
W 1317,CD -30°906,7.24
W 1319,CD -23°947,40.13
W 1320,CD -27°875,4.11
W 1321,CD -30°909,24.05
W 1323,CD -29°905,1.21
W 1325,CD -23°950,24.43
W 1326,CD -25°982,29.27
W 1328,CD -25°983,10.12
W 1330,CD -29°912,13.82
W 1332,CD -22°854,72.92
W 1333,CD -28°800,12.51
W 1335,CD -25°988,36.58
W 1336,CD -23°957,5.11
W 1338,CD -28°803,11.03
W 1339,CD -23°962,5.26
W 1340,CD -27°882,14.22
W 1341,CD -24°1130,20.02
W 1344,CD -26°911,28.12
W 1348,CD -26°915,20.31
W 1349,CD -29°923,5.86
W 1350,CD -26°919,50.35
W 1352,CD -28°819,49.00
W 1353,CD -30°941,18.56
W 1354,CD -29°928,30.40
W 1356,CD -22°874,32.09
W 1357,CD -23°972,5.65
W 1358,CD -25°1008,22.39
W 1362,CD -30°947,12.08
W 1364,CD -27°897,23.00
W 1365,CD -29°935,5.36
W 1369,CD -27°900,13.98
W 1371,CD -24°1154,10.99
W 1373,CD -25°1020,11.82
W 1377,CD -29°945,12.04
W 1378,CD -28°832,16.35
W 1381,CD -30°958,16.64
W 1382,CD -24°1157,10.06
W 1386,CD -25°1025,12.70
W 1387,CD -24°1159,20.98
W 1391,CD -29°951,22.97
W 1393,CD -23°998,14.25
W 1394,CD -29°955,18.82
W 1395,CD -29°956,22.10
W 1399,CD -30°973,8.89
W 1400,CD -29°960,8.27
W 1401,CD -25°1041,48.37
W 1404,CD -25°1044,25.86
W 1406,CD -28°846,34.18
W 1408,CD -26°953,6.03
W 1409,CD -28°847,36.02
W 1411,CD -26°957,27.72
W 1412,CD -28°848,12.58
W 1414,CD -28°850,7.34
W 1417,CD -26°958,14.53
W 1420,CD -24°1189,20.28
W 1423,CD -28°853,7.77
W 1424,CD -31°1081,15.01
W 1425,CD -22°907,21.07
W 1426,CD -24°1196,6.29
W 1427,CD -30°990,29.28
W 1428,CD -22°908,29.14
W 1433,CD -28°863,17.08
W 1434,CD -23°1029,22.97
W 1435,CD -26°977,18.78
W 1436,CD -30°999,46.01
W 1437,CD -30°998,9.47
W 1439,CD -28°869,37.21
W 1440,CD -30°1000,5.02
W 1441,CD -27°946,32.36
W 1445,CD -26°982,4.26
W 1446,CD -29°991,20.25
W 1449,CD -28°870,15.21
W 1450,CD -26°987,42.50
W 1451,CD -26°988,25.42
W 1454,CD -28°875,20.37
W 1455,CD -29°1001,15.51
W 1456,CD -28°878,3.43
W 1458,CD -26°996,12.38
W 1459,CD -26°997,33.76
W 1460,CD -29°1003,34.31
W 1463,CD -22°932,18.06
W 1464,CD -25°1089,21.34
W 1469,CD -30°1027,21.63
W 1470,CD -25°1097,6.24
W 1471,CD -25°1099,18.01
W 1472,CD -31°1117,28.07
W 1476,CD -22°940,39.96
W 1477,CD -26°1013,2.91
W 1479,CD -22°943,5.88
W 1480,CD -23°1059,24.01
W 1481,CD -25°1102,12.84
W 1485,CD -22°946,5.21
W 1486,CD -23°1061,14.87
W 1488,CD -27°981,19.69
W 1489,CD -25°1106,37.71
W 1493,CD -25°1110,33.43
W 1494,CD -26°1025,27.00
W 1495,CD -23°1069,16.83
W 1499,CD -29°1026,15.91
W 1502,CD -25°1114,7.70
W 1505,CD -24°1264,38.02
W 1507,CD -30°1056,16.95
W 1509,CD -29°1035,15.90
W 1511,CD -29°1039,24.50
W 1512,CD -25°1120,34.85
W 1513,CD -28°903,17.92
W 1514,CD -28°904,7.94
W 1515,CD -25°1123,29.31
W 1516,CD -25°1124,15.48
W 1522,CD -24°1277,60.21
W 1525,CD -28°909,13.34
W 1526,CD -29°1048,19.32
W 1529,CD -24°1281,57.36
W 1530,CD -30°1072,59.28
W 1531,CD -28°915,7.47
W 1533,CD -23°1091,33.34
W 1534,CD -25°1140,12.60
W 1537,CD -23°1095,16.56
W 1539,CD -27°1007,22.85
W 1540,CD -28°921,34.12
W 1543,CD -22°982,27.42
W 1545,CD -22°984,6.38
W 1546,CD -30°1086,10.11
W 1547,CD -28°928,14.05
W 1548,CD -26°1057,8.41
W 1549,CD -23°1109,4.03
W 1551,CD -23°1110,11.35
W 1559,CD -26°1063,12.60
W 1560,CD -30°1096,15.95
W 1561,CD -31°1162,16.90
W 1562,CD -28°933,14.83
W 1564,CD -26°1071,30.01
W 1566,CD -26°1072,5.08
W 1568,CD -26°1073,12.60
W 1569,CD -23°1122,2.45
W 1572,CD -26°1074,2.41
W 1573,CD -24°1321,37.82
W 1574,CD -24°1322,8.75
W 1575,CD -26°1077,8.85
W 1576,CD -29°1087,21.49
W 1577,CD -29°1088,11.26
W 1581,CD -22°1005,27.08
W 1582,CD -24°1336,3.01
W 1586,CD -22°1013,13.02
W 1587,CD -26°1088,4.47
W 1588,CD -28°959,16.76
W 1589,CD -28°961,40.54
W 1590,CD -28°963,35.52
W 1591,CD -24°1343,10.26
W 1593,CD -26°1094,14.36
W 1594,CD -28°967,9.38
W 1596,CD -28°970,33.17
W 1600,CD -25°1187,16.07
W 1602,CD -24°1356,23.82
W 1604,CD -29°1106,11.73
W 1605,CD -26°1098,15.88
W 1606,CD -25°1191,23.89
W 1607,CD -23°1162,12.92
W 1610,CD -30°1137,33.18
W 1611,CD -28°978,25.69
W 1613,CD -25°1199,14.58
W 1617,CD -28°982,14.06
W 1618,CD -23°1170,16.30
W 1619,CD -30°1143,21.10
W 1620,CD -30°1146,17.25
W 1622,CD -24°1374,63.00
W 1623,CD -27°1056,64.86
W 1625,CD -25°1212,31.20
W 1627,CD -28°987,39.10
W 1628,CD -25°1217,33.28
W 1631,CD -25°1218,23.32
W 1633,CD -30°1157,6.09
W 1634,CD -23°1184,17.85
W 1636,CD -24°1387,16.98
W 1638,CD -30°1160,12.87
W 1639,CD -23°1188,2.94
W 1643,CD -25°1225,10.27
W 1644,CD -22°1041,17.57
W 1645,CD -27°1062,28.13
W 1648,CD -29°1131,4.90
W 1653,CD -27°1068,30.34
W 1654,CD -29°1132,11.70
W 1655,CD -23°1200,23.17
W 1658,CD -24°1405,25.89
W 1661,CD -25°1239,30.32
W 1664,CD -24°1415,18.95
W 1667,CD -28°1014,12.69
W 1670,CD -24°1421,5.75
W 1671,CD -28°1016,25.84
W 1673,CD -22°1060,37.48
W 1674,CD -29°1143,1.81
W 1677,CD -29°1145,24.74
W 1680,CD -29°1146,41.88
W 1681,CD -28°1022,39.54
W 1684,CD -25°1254,14.18
W 1685,CD -24°1443,12.66
W 1686,CD -30°1185,8.99
W 1688,CD -26°1147,11.98
W 1689,CD -26°1148,15.33
W 1691,CD -26°1149,7.85
W 1693,CD -23°1227,13.76
W 1694,CD -22°1072,34.32
W 1698,CD -30°1195,22.19
W 1699,CD -25°1276,10.80
W 1701,CD -22°1078,32.18
W 1702,CD -26°1159,10.72
W 1704,CD -22°1080,40.51
W 1706,CD -26°1160,15.68
W 1707,CD -22°1082,18.45
W 1708,CD -24°1462,15.18
W 1711,CD -24°1466,7.89
W 1712,CD -27°1103,50.66
W 1714,CD -28°1038,7.10
W 1717,CD -26°1167,14.34
W 1719,CD -29°1167,28.68
W 1720,CD -22°1091,14.65
W 1721,CD -24°1475,12.37
