index1,index2,dist
58G Car,CPD -54°1389,2.62
59G Car,CPD -56°1437,2.51
60G Car,CPD -56°1442,6.23
61G Car,CPD -59°908,6.00
62G Car,CPD -54°1420,2.64
63G Car,CPD -52°1333,9.18
64G Car,CPD -56°1468,1.64
chi Car,CPD -52°1343,4.55
66G Car,CPD -60°935,3.73
67G Car,CPD -58°1028,7.15
68G Car,CPD -51°1338,0.94
69G Car,CPD -59°944,7.51
70G Car,CPD -62°925,12.48
71G Car,CPD -60°1006,7.39
72G Car,CPD -59°954,0.00
73G Car,CPD -60°1018,7.06
74G Car,CPD -53°1505,4.43
75G Car,CPD -54°1470,6.55
76G Car,CPD -55°1419,6.00
D1 Car,CPD -63°866,3.38
78G Car,CPD -52°1376,6.27
D2 Car,CPD -62°953,6.93
80G Car,CPD -55°1467,1.69
D3 Car,CPD -63°896,6.71
B Car,CPD -60°1074,7.88
83G Car,CPD -59°990,7.69
C Car,CPD -62°985,3.46
85G Car,CPD -63°922,6.62
86G Car,CPD -58°1095,7.15
87G Car,CPD -57°1490,6.21
88G Car,CPD -63°940,3.32
epsilon Car,CPD -59°1032,7.70
90G Car,CPD -54°1627,0.86
91G Car,CPD -55°1543,6.06
92G Car,CPD -54°1647,6.25
93G Car,CPD -53°1707,5.32
94G Car,CPD -54°1667,6.92
e1 Car,CPD -57°1590,10.39
e2 Car,CPD -57°1591,8.80
97G Car,CPD -62°1058,9.18
98G Car,CPD -57°1644,8.28
d Car,CPD -59°1080,9.73
100G Car,CPD -55°1688,1.71
101G Car,CPD -61°1067,0.00
102G Car,CPD -58°1202,7.18
f Car,CPD -56°1865,14.14
104G Car,CPD -57°1759,3.25
105G Car,CPD -56°1918,8.35
106G Car,CPD -59°1174,3.76
107G Car,CPD -57°1790,3.20
c Car,CPD -60°1243,7.07
b1 Car,CPD -58°1301,6.00
b2 Car,CPD -58°1327,12.62
111G Car,CPD -60°1283,7.05
112G Car,CPD -57°1859,6.82
113G Car,CPD -63°1093,3.29
114G Car,CPD -56°2010,6.00
E Car,CPD -70°861,6.52
G Car,CPD -72°779,2.31
a Car,CPD -58°1419,7.85
118G Car,CPD -57°1914,7.71
i Car,CPD -61°1201,6.97
121G Car,CPD -58°1432,0.00
122G Car,CPD -60°1353,3.70
beta Car,CPD -69°1023,2.66
124G Car,CPD -57°1949,7.68
g Car,CPD -57°1961,12.11
iota Car,CPD -58°1465,16.74
